year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
2010,Hunt Club 5,4,0.3333333333333333,41.14708,-73.30917,Sasco Brook
2010,Lamplight 1,2,0.5,41.11826,-73.34596,Pussy Willow Brook
2010,Poplar 1.5,2,0.3333333333333333,41.162424,-73.37263,Saugatuck River
2010,Poplar 2,4,0.3333333333333333,41.16205,-73.37512,Saugatuck River
2010,Poplar 3,3,0.3,41.15937,-73.3791,Saugatuck River
2010,Poplar 4,1,0.1,41.15946,-73.38549,Saugatuck River
2010,Pussy Willow 1,2,0.5,41.1234,-73.34916,Pussy Willow Brook
2010,Pussy Willow 2,3,0.5,41.126496,-73.351695,Pussy Willow Brook
2010,Pussy Willow 3,2,0.5,41.129896,-73.34824,Pussy Willow Brook
2010,Pussy Willow 4,2,0.3333333333333333,41.136663,-73.34445,Pussy Willow Brook
2010,SG1,2,0.125,41.162278,-73.368167,Saugatuck River
2010,Sasco 1,0,0,41.12478,-73.29888,Sasco Brook
2010,Sasco 3,3,0.375,41.13702,-73.29708,Sasco Brook
2010,Sasco 4,4,0.5,41.13813,-73.29793,Sasco Brook
2010,Sasco 6,4,0.4,41.14556,-73.30111,Sasco Brook
2010,Sasco 7,6,0.3333333333333333,41.14573,-73.30314,Sasco Brook
2010,Sasco 8,9,0.45,41.14579,-73.30318,Sasco Brook
2010,Sasco 9,5,0.35714285714285715,41.1528,-73.30605,Sasco Brook
2010,Saugatuck 1,0,0,41.16748,-73.36647,Saugatuck River
2011,Hunt Club 1,4,0.5,41.14587,-73.30357,Sasco Brook
2011,Hunt Club 2,19,0.5,41.14786,-73.30736,Sasco Brook
2011,Hunt Club 3,5,0.5,41.14685,-73.30846,Sasco Brook
2011,Hunt Club 5,2,0.2,41.14708,-73.30917,Sasco Brook
2011,Lamplight 1,1,0.5,41.11826,-73.34596,Pussy Willow Brook
2011,Muddy 3,1,0.5,41.13857,-73.32546,Muddy Brook
2011,Muddy 4,1,0.5,41.14107,-73.32172,Muddy Brook
2011,Poplar 1.5,1,0.16666666666666666,41.162424,-73.37263,Saugatuck River
2011,Poplar 2,9,0.3,41.16205,-73.37512,Saugatuck River
2011,Poplar 3,3,0.25,41.15937,-73.3791,Saugatuck River
2011,Poplar 4,3,0.25,41.15946,-73.38549,Saugatuck River
2011,Poplar 4 Side,0,0,41.15946,-73.38549,Saugatuck River
2011,Pussy Willow 1,1,0.5,41.1234,-73.34916,Pussy Willow Brook
2011,Pussy Willow 2,1,0.5,41.126496,-73.351695,Pussy Willow Brook
2011,Pussy Willow 3,1,0.5,41.129896,-73.34824,Pussy Willow Brook
2011,Pussy Willow 4,1,0.5,41.136663,-73.34445,Pussy Willow Brook
2011,SG1,7,0.21875,41.162278,-73.368167,Saugatuck River
2011,Sasco 4,1,0.5,41.13813,-73.29793,Sasco Brook
2011,Sasco 5,10,0.35714285714285715,41.13853,-73.2979,Sasco Brook
2011,Sasco 6,9,0.25,41.14556,-73.30111,Sasco Brook
2011,Sasco 7,4,0.4,41.14573,-73.30314,Sasco Brook
2011,Sasco 8,0,0,41.14579,-73.30318,Sasco Brook
2011,Sasco 9,12,0.3333333333333333,41.1528,-73.30605,Sasco Brook
2011,Saugatuck 1,8,0.25,41.16748,-73.36647,Saugatuck River
2011,Saugatuck 2,6,0.1875,41.17553,-73.36193,Saugatuck River
2012,Deadman 1,2,0.5,41.13975,-73.358428,Deadman Brook
